Technology Name,Technology Type,B Prereqs,Y Prereqs,G Prereqs,R Prereqs,Ability,No change from previous build?,,
Antimass Deflectors,Propulsion,,,,,Your ships can move into and through asteroid fields.,TRUE,,FALSE
Dark Energy Tap,Propulsion,,,,,"After you perform a tactial action in a system that contains a frontier token, if you have 1 or more ships in that system, explore that token.

Your ships can retreat into adjacent systems that do not contain other players' units, even if you do not have units or control planets in that system.",TRUE,,FALSE
Sling Relay,Propulsion,1,,,,ACTION: Exhaust this card to produce 1 ship in any system that contains one of your space docks.,TRUE,,FALSE
Distributed Neural Interfaces,Biotic,1,,,,Apply -2 to BOMBARDMENT and SPACE CANNON rolls made against your units.,FALSE,,FALSE
Gravity Drive,Propulsion,2,,,,"During the move ships step of a tactical action, you may exhaust this card to apply +1 to the move value of 1 of your ships.",TRUE,,FALSE
Gravity Catapults,Cybernetic,2,,,,"At the start of your turn, you may exhaust this card to move 1 of your ships from a system that contains your structure(s) to an adjacent system that contains your structure(s) and no other players' ships.",FALSE,,FALSE
Light/wave Deflectors,Propulsion,3,,,,"Before moving ships, you may exhaust this card to choose 1 system that contains your ships. Your ships in that system may move through systems that contain other player's ships.",FALSE,,FALSE
Transit Diodes,Warfare,3,,,,"During the ""commit ground forces"" step of your tactical action in a system containing your ship(s), you may exhaust this card to commit up to 4 ground forces from any planets you control.",FALSE,,FALSE
Rift Drives,Propulsion,4,,,,"After you move ships into a system containing another player’s ships, that player must make a gravity rift roll for each of their non-fighter ships.


Apply +1 to your gravity rift rolls.",FALSE,,FALSE
Sarween Tools,Cybernetic,,,,,"When 1 or more of your units use PRODUCTION, reduce the combined cost of the produced units by 1.",TRUE,,FALSE
Scanlink Drone Network,Cybernetic,,,,,"When you activate a system that contains a planet you control, explore 1 planet in that system which contains 1 or more of your units.",TRUE,,FALSE
Graviton Laser System,Cybernetic,,1,,,"You may exhaust this card after 1 or more of your units roll for their Space Cannon ability; hits produced by those units must be assigned to non-fighter ships, if able.",FALSE,,FALSE
Duranium Armor,Warfare,,1,,,"At the end of a round of combat, you may exhaust this card to repair each of your damaged units in the combat.",FALSE,,FALSE
Predictive Intelligence,Cybernetic,,2,,,"At the end of your turn, you may redistribute your command tokens.",TRUE,,FALSE
Warp Matrix,Propulsion,,2,,,"At the start of the move ships step of a tactical action, you may exhaust this card to treat 2 systems that contain your structure(s) as adjacent during the move ships step of this tactical action.",FALSE,,FALSE
Transit Nodes,Cybernetic,,3,,,"At the start of the move ships step of a tactical action, you may exhaust this card to choose a system that contains your structure(s); Apply +1 to the move value of up to 3 your ships in that system.",FALSE,,FALSE
Cybernetic Jammers,Biotic,,3,,,"When your opponent rolls an unmodified 2 during the first round of combat, produce a hit against their units.

When your opponent rolls an unmodified 1 during a combat, produce a hit against their units.",FALSE,,FALSE
